red_model,blue_model,seed,winner,red_score,blue_score,total_turns,game_duration
gemini,bert,6869,red,9,4,3,25.39482808113098
gemini,bert,7071,red,9,6,3,25.38688564300537
gemini,bert,7273,red,9,1,3,23.952921390533447
gemini,bert,7475,blue,8,8,4,35.12740874290466
gemini,bert,7677,red,9,7,5,40.01258659362793
gemini,bert,7879,red,9,6,3,25.625584840774536
gemini,bert,8081,blue,8,8,4,30.418838262557983
gemini,bert,8283,red,9,4,3,24.59609818458557
gemini,bert,8485,red,9,6,3,27.33611559867859
gemini,bert,8687,red,9,6,3,26.019707918167114
gemini,bert,8889,red,9,4,3,23.9805908203125
gemini,bert,9091,red,9,2,3,23.938347816467285
gemini,bert,9293,red,9,6,3,27.462419748306274
gemini,bert,9495,red,9,6,5,36.577064514160156
gemini,bert,9697,red,9,4,3,25.22583770751953
gemini,bert,9899,red,9,4,3,26.4145245552063
gemini,bert,10101,red,9,1,3,22.858740091323853
